rank,rank_score,web3_id,id,balance,tvf,followers,following,trust,trust_7d,contribution,sybil,not_sybil
81,0.627301,Slay,0xe79f6334107a5fca525104e11bd6ab9f160edfd8,28228.0,591608091.0,7261,1312,41966,837,311.49,1,37
82,0.62675,nelsonmandela,0x90c0bf8d71369d21f8addf0da33d21dcb0b1c384,2465946.0,541005649.0,9725,302,2873,67,197.89,3,21
83,0.626436,richmond,0xae796fea209c83631c26a31aee1136bc167c5ef6,25437.0,153769519.0,4296,1331,20151,1526,68.17,11,392
84,0.626262,TheWorldBTC,0x7e1d89efe0d75b659fece9159801fd9df37c0ac0,14279.0,270095546.0,6987,1522,9972,2191,183.0,0,44
85,0.626229,Sufidyanov,0x88eeb79b0cce7000142bbb474562663b4ab623db,7513.0,349207313.0,6959,2554,16401,1385,290.49,0,91
86,0.625213,cucbku,0x011b0a055e02425461a1ae95b30f483c4ff05be7,2825722.0,288487549.0,4991,1160,2691,188,99.32,0,39
87,0.624863,blurr,0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,21040170.0,793445081.0,35969,0,0,0,0.0,0,19
88,0.624468,fulmer,0xc47fae56f3702737b69ed615950c01217ec5c7c8,2604133.0,537907778.0,9961,519,2099,5,50.95,0,29
89,0.624414,ao_investman,0x33a924165e1f2be5142fd19d1b2f091cb23bfd3f,61152.0,624569746.0,9099,772,9449,618,166.84,0,15
90,0.623663,CryptoBatDog,0xe1f8afc92644bfe77080d7dcb0f936f578e00f53,6041980.0,526555600.0,5417,537,7096,217,190.5,3,54
91,0.623294,hodlthedoor,0xa4b6eeeb7eba0fc360a7402f2ebe90c178115e91,36623.0,512754425.0,11947,1737,22816,1134,323.66,4,42
92,0.623016,TopBigSBHodler,0xaa0c3d6fd25aa2c23aed2659197ef39aea306172,589166.0,698077178.0,5840,973,10948,8,148.2,9,87
93,0.622681,SWITCH2CRYPTO,0x10c602dfa415cd81a278e0386fcfd76e1bba2b6f,2161.0,183274606.0,4533,959,23816,6516,382.86,0,13
94,0.622642,rianbet,0xe4336223707c1616278a44ecd9f4546ea422f8e7,336557.0,397006260.0,4081,1492,19267,1084,270.47,2,53
95,0.621953,0xMe,0x4cd6b970f42b41ee58c2e4b7ab99863d5ae52a23,2846481.0,367026845.0,2506,692,2160,127,76.33,0,10
96,0.621347,G_DANGER,0xae6b10bd40d92c00a0a7582d055d687f1ce47edf,154919.0,391175158.0,9250,2311,11951,4466,72.82,0,47
97,0.621116,pudding,0x5922160c970573663914f8e53644a0615e8fa8d2,3030498.0,507269785.0,6883,1695,2795,175,181.58,4,45
98,0.620744,Binance,0xf7476db5b717ac661c027e684456115ab1e728c3,225090.0,258384142.0,10102,86,1212,528,190.98,1,3
99,0.620711,BelarusOK,0x75e42d184b2f4b1fea2673a9f3116d1f66c90b44,5314283.0,303694595.0,3086,184,2292,338,47.4,0,24
100,0.620705,VietnamPenguin,0xfe5021168d36b8af7d5ddbd98c5baea8b69b42f4,43954.0,394215906.0,8039,1546,45965,2425,372.16,3,58
